======================================================================
ASPEN PLUS DEEP BLOCK INSPECTION
======================================================================
Loading: C:\Program Files\AspenTech\Aspen Plus V14.0\GUI\Examples\Hydrogen\Alkaline electrolysis\Industrial Scale Alkaline Electrolyzer\Industrial Scale Alkaline Electrolyzer.bkp
Inspecting Block: B1
  B1 | Path: \B1 | Value: V-DRUM1
      USER_SVALUE | Path: \B1\Input\USER_SVALUE | Value: None
      UTILITY_ID | Path: \B1\Input\UTILITY_ID | Value: None
      VAPOR | Path: \B1\Input\VAPOR | Value: 0.0
        MIXED | Path: \B1\Input\VAPOR\MIXED | Value: 0.0
      VFRAC | Path: \B1\Input\VFRAC | Value: None
      VFRACX_TOL | Path: \B1\Input\VFRACX_TOL | Value: 1e-05
      VFRAC_TOL | Path: \B1\Input\VFRAC_TOL | Value: 0.001
      VSTYPE | Path: \B1\Input\VSTYPE | Value: INSTANTANEOUS
      WALLHTC | Path: \B1\Input\WALLHTC | Value: 0.5
      WALLHTCDRY | Path: \B1\Input\WALLHTCDRY | Value: 0.5
      WALLHTCWET | Path: \B1\Input\WALLHTCWET | Value: 0.5
      WETHT | Path: \B1\Input\WETHT | Value: NO
      WIDE | Path: \B1\Input\WIDE | Value: None
    Output | Path: \B1\Output | Value: None
      Unit Set | Path: \B1\Output\Unit Set | Value: 
      Prop Data | Path: \B1\Output\Prop Data | Value: None
      User Table | Path: \B1\Output\User Table | Value: 0
      User Tree | Path: \B1\Output\User Tree | Value: 0
      BAL_ENTH_GEN | Path: \B1\Output\BAL_ENTH_GEN | Value: None
      BAL_ENTH_OUT | Path: \B1\Output\BAL_ENTH_OUT | Value: -2268738890.0
      BAL_FEEDCO2E | Path: \B1\Output\BAL_FEEDCO2E | Value: 0.0
      BAL_MASG_FLW | Path: \B1\Output\BAL_MASG_FLW | Value: None
      BAL_MASG_TFL | Path: \B1\Output\BAL_MASG_TFL | Value: None
      BAL_MASI_TFL | Path: \B1\Output\BAL_MASI_TFL | Value: 163.685908
      BAL_MASO_FLW | Path: \B1\Output\BAL_MASO_FLW | Value: 163.685908
      BAL_MASO_TFL | Path: \B1\Output\BAL_MASO_TFL | Value: 163.685908
      BAL_MASR_TFL | Path: \B1\Output\BAL_MASR_TFL | Value: 0.0
      BAL_MOLG_FLW | Path: \B1\Output\BAL_MOLG_FLW | Value: 0.0
      BAL_MOLG_TFL | Path: \B1\Output\BAL_MOLG_TFL | Value: 0.0
      BAL_MOLI_TFL | Path: \B1\Output\BAL_MOLI_TFL | Value: 7.59824425
      BAL_MOLO_FLW | Path: \B1\Output\BAL_MOLO_FLW | Value: 7.59824425
      BAL_MOLO_TFL | Path: \B1\Output\BAL_MOLO_TFL | Value: 7.59824425
